,ET,millis,system:index,date
0,18.936322224526666,1420070400000,2015_01_01,2015-01-01
1,25.39168496170862,1420761600000,2015_01_09,2015-01-09
2,13.5748078393972,1421452800000,2015_01_17,2015-01-17
3,21.128770012482622,1422144000000,2015_01_25,2015-01-25
4,12.865048010969517,1422835200000,2015_02_02,2015-02-02
5,13.050652981806934,1423526400000,2015_02_10,2015-02-10
6,22.37757830089721,1424217600000,2015_02_18,2015-02-18
7,31.54770597111957,1424908800000,2015_02_26,2015-02-26
8,16.115362403447435,1425600000000,2015_03_06,2015-03-06
9,24.861199953650292,1426291200000,2015_03_14,2015-03-14
10,16.273093194070267,1426982400000,2015_03_22,2015-03-22
11,18.16377820220653,1427673600000,2015_03_30,2015-03-30
12,15.995679526481862,1428364800000,2015_04_07,2015-04-07
13,17.294515369068556,1429056000000,2015_04_15,2015-04-15
14,27.411550834817554,1429747200000,2015_04_23,2015-04-23
15,26.95035390105108,1430438400000,2015_05_01,2015-05-01
16,28.257767644243796,1431129600000,2015_05_09,2015-05-09
17,24.766938933083896,1431820800000,2015_05_17,2015-05-17
18,23.744360684378076,1432512000000,2015_05_25,2015-05-25
19,27.020684685050327,1433203200000,2015_06_02,2015-06-02
20,33.178666344917914,1433894400000,2015_06_10,2015-06-10
21,17.06822905247919,1434585600000,2015_06_18,2015-06-18
22,26.238698935003875,1435276800000,2015_06_26,2015-06-26
23,33.443309709244055,1435968000000,2015_07_04,2015-07-04
24,29.78047753020981,1436659200000,2015_07_12,2015-07-12
25,32.646153045855,1437350400000,2015_07_20,2015-07-20
26,29.2936271951847,1438041600000,2015_07_28,2015-07-28
27,32.61892296633385,1438732800000,2015_08_05,2015-08-05
28,28.50077944306624,1439424000000,2015_08_13,2015-08-13
29,32.94237573909159,1440115200000,2015_08_21,2015-08-21
30,30.59024051004399,1440806400000,2015_08_29,2015-08-29
31,28.281061036740965,1441497600000,2015_09_06,2015-09-06
32,30.102540131982458,1442188800000,2015_09_14,2015-09-14
33,29.581679849272177,1442880000000,2015_09_22,2015-09-22
34,25.692328302636362,1443571200000,2015_09_30,2015-09-30
35,21.32555235399358,1444262400000,2015_10_08,2015-10-08
36,29.864703919374854,1444953600000,2015_10_16,2015-10-16
37,19.98612926549117,1445644800000,2015_10_24,2015-10-24
38,18.631584387338215,1446336000000,2015_11_01,2015-11-01
39,16.429277064377057,1447027200000,2015_11_09,2015-11-09
40,12.097042733035837,1447718400000,2015_11_17,2015-11-17
41,15.62365104854239,1448409600000,2015_11_25,2015-11-25
42,9.195596851358745,1449100800000,2015_12_03,2015-12-03
43,20.919197084484935,1449792000000,2015_12_11,2015-12-11
44,25.915246595947718,1450483200000,2015_12_19,2015-12-19
